,Unnamed: 0,Unnamed: 0.1,score,model,eps
106,106,146,0.8914929480564157,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
107,107,147,0.8637772864553049,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
108,108,148,0.8760127715236073,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
109,109,149,0.8664151236597057,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
110,110,150,0.8662433109801532,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
111,111,151,0.8840046930449408,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
112,112,152,0.8866562205726293,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
113,113,153,0.8608207200157665,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
114,114,154,0.8600741724271137,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
115,115,155,0.8910459232750254,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
116,116,156,0.8892121998159149,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
117,117,157,0.8861285832493262,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
118,118,158,0.8763579403053088,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
119,119,159,0.8705994263734201,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
120,120,160,0.9146264299205475,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
121,121,161,0.8974367755637106,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
122,122,162,0.8905063037725576,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
123,123,163,0.8895361329417056,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
124,124,164,0.8955832122395588,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
125,125,165,0.8905165460428618,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
126,126,166,0.9191587029822323,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
127,127,167,0.8850002360528677,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
128,128,168,0.8947479082154004,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
129,129,169,0.9025895820632664,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
130,130,170,0.9256879204247628,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
131,131,171,0.8833446759452952,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
132,132,172,0.8938278483944119,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
133,133,173,0.907990095559755,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
134,134,174,0.8914963124251051,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
135,135,175,0.9055611338893071,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
136,136,176,0.8791200316432514,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
137,137,177,0.9002948941184237,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
138,138,178,0.8969853307933802,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
139,139,179,0.9065361775888092,$\alpha_{S_{\varepsilon}}$ (proposed),0.14
140,140,180,0.9142451385485442,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
141,141,181,0.9176017759144692,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
142,142,182,0.9097576142467784,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
143,143,183,0.8864342452887344,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
144,144,184,0.8887008658370888,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
145,145,185,0.9138765721118662,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
146,146,186,0.8947422477763036,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
147,147,187,0.8958769140657686,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
148,148,188,0.9090452681783951,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
149,149,189,0.90722592680797,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
150,150,190,0.8747008618525646,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
151,151,191,0.9161249128896188,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
152,152,192,0.9003152380396962,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
153,153,193,0.9026867753338342,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
154,154,194,0.8996266054160792,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
155,155,195,0.9081900896916378,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
156,156,196,0.8998216527009097,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
157,157,197,0.9019401066769488,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
158,158,198,0.9089272936641356,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
159,159,199,0.9011231734915944,$\alpha_{S_{\varepsilon}}$ (proposed),0.12
160,160,200,0.9178916197182452,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
161,161,201,0.9247275070804484,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
162,162,202,0.9106140350877192,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
163,163,203,0.9037893753992826,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
164,164,204,0.9001266523247947,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
165,165,205,0.9148313284536196,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
166,166,206,0.9116073176909092,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
167,167,207,0.9143087780394282,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
168,168,208,0.8963961011329433,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
169,169,209,0.9028328004798594,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
170,170,210,0.9029506131518517,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
171,171,211,0.9135631009160422,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
172,172,212,0.9070409064526712,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
173,173,213,0.9219587280577992,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
174,174,214,0.9197847764411232,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
175,175,215,0.916230172267324,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
176,176,216,0.9074018588724472,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
177,177,217,0.9090130318458493,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
178,178,218,0.9003531882169653,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
179,179,219,0.9242035140641952,$\alpha_{S_{\varepsilon}}$ (proposed),0.1
180,180,220,0.9137013593050746,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
181,181,221,0.922348782967978,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
182,182,222,0.9366190970680136,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
183,183,223,0.9249804522869536,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
184,184,224,0.9285831338772516,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
185,185,225,0.9208389384859974,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
186,186,226,0.9110986866404822,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
187,187,227,0.9178713941717036,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
188,188,228,0.8977646922383764,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
189,189,229,0.9307987366810896,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
190,190,230,0.9200454010980328,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
191,191,231,0.9322494033175148,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
192,192,232,0.9135330407466632,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
193,193,233,0.9190720778956074,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
194,194,234,0.8943135407531692,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
195,195,235,0.8949666776292163,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
196,196,236,0.8968112589165221,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
197,197,237,0.9000718251337447,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
198,198,238,0.9269828652181594,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
199,199,239,0.9133834060304648,$\alpha_{S_{\varepsilon}}$ (proposed),0.08
